customer_id,age,annual_income,employment_length,state,credit_score
CUST000001,43,52873.0,10+ years,NJ,733
CUST000002,36,42038.0,8 years,tx,634
CUST000003,45,68077.0,7 years,GA,726
CUST000004,56,89992.0,10+ years,NJ,753
CUST000005,35,52103.0,4 years,CA,712
CUST000006,35,56973.0,10+ years,WA,740
CUST000007,56,63739.0,10+ years,CA,766
CUST000008,47,58081.0,9 years,PA,9999
CUST000009,32,"$60,486",,CA,731
CUST000010,44,60501.0,9 years,PA,544
CUST000011,32,"$34,570",5 years,IL,685
CUST000012,32,38688.0,8 years,NY,687
CUST000013,40,63357.0,10+ years,IN,718
CUST000014,21,41893.0,1 years,fl,609
CUST000015,21,12368.0,3 years,NJ,734
CUST000016,31,"$42,439",2 years,NY,649
CUST000017,25,29682.0,3 years,TX,767
CUST000018,41,48017.0,10+ years,MA,662
CUST000019,27,52155.0,1 years,FL,673
CUST000020,21,21437.0,< 1 year,VA,578
CUST000021,55,57166.0,10+ years,AZ,648
CUST000022,35,29575.0,7 years,TN,675
CUST000023,38,42782.0,3 years,MA,675
CUST000024,21,13971.0,< 1 year,IN,679
CUST000025,31,24028.0,4 years,VA,548
CUST000026,39,33250.0,9 years,OH,615
CUST000027,24,16142.0,< 1 year,NJ,644
CUST000028,42,38788.0,8 years,mi,802
CUST000029,30,41786.0,2 years,NY,784
CUST000030,34,12000.0,7 years,MD,659
CUST000031,30,25274.0,1 years,MO,659
CUST000032,60,70298.0,,MD,768
CUST000033,37,61429.0,9 years,,715
CUST000034,25,,< 1 year,NJ,644
CUST000035,47,53900.0,10+ years,PA,618
CUST000036,23,26081.0,< 1 year,AZ,745
CUST000037,40,"$20,445",10+ years,PA,688
CUST000038,21,34886.0,< 1 year,IL,620
CUST000039,22,"$35,461",< 1 year,CA,735
CUST000040,40,60017.0,10+ years,MD,771
CUST000041,46,92588.0,10+ years,VA,768
CUST000042,40,28322.0,7 years,WI,661
CUST000043,36,20680.0,6 years,WA,639
CUST000044,34,51188.0,9 years,AZ,721
CUST000045,21,19938.0,1 years,FL,643
CUST000046,29,"$19,816",3 years,NY,741
CUST000047,32,33962.0,5 years,NC,673
CUST000048,50,50525.0,10+ years,az,697
CUST000049,42,76072.0,8 years,MD,714
CUST000050,21,58927.0,< 1 year,NJ,677
CUST000051,41,24467.0,10+ years,WI,679
CUST000052,33,17252.0,6 years,WI,534
CUST000053,29,23209.0,4 years,MO,678
CUST000054,45,43457.0,10+ years,IL,770
CUST000055,50,48171.0,10+ years,VA,654
CUST000056,49,55686.0,10+ years,NC,999
CUST000057,27,25497.0,3 years,NY,674
CUST000058,34,20296.0,3 years,MD,772
CUST000059,41,33598.0,3 years,CA,634
CUST000060,49,81795.0,10+ years,MO,710
CUST000061,32,32838.0,6 years,IL,683
CUST000062,35,35671.0,7 years,IN,696
CUST000063,24,12000.0,1 years,IL,563
CUST000064,23,20452.0,1 years,MA,738
CUST000065,47,70614.0,10+ years,AZ,697
CUST000066,54,73533.0,10+ years,MI,700
CUST000067,37,56366.0,10+ years,FL,694
CUST000068,50,41746.0,10+ years,VA,652
CUST000069,42,31906.0,9 years,MO,687
CUST000070,30,52802.0,5 years,NC,724
CUST000071,42,62594.0,10+ years,PA,778
CUST000072,56,,10+ years,WI,693
CUST000073,37,56996.0,4 years,IN,704
CUST000074,56,48955.0,10+ years,CA,791
CUST000075,21,12000.0,< 1 year,NJ,723
CUST000076,47,31938.0,10+ years,NJ,619
CUST000077,39,52022.0,10+ years,AZ,671
CUST000078,34,43851.0,2 years,NY,618
CUST000079,39,38764.0,6 years,WA,840
CUST000080,21,13294.0,< 1 year,wi,685
CUST000081,35,78018.0,8 years,MI,565
CUST000082,42,46313.0,7 years,WI,590
CUST000083,55,86621.0,10+ years,MI,539
CUST000084,31,34805.0,4 years,il,688
CUST000085,28,25889.0,6 years,CA,677
CUST000086,31,58250.0,6 years,IN,658
CUST000087,48,69249.0,10+ years,WA,705
CUST000088,41,"$48,638",5 years,NC,638
CUST000089,31,"$54,006",6 years,NC,601
CUST000090,44,90405.0,10+ years,FL,663
CUST000091,39,35615.0,10+ years,TX,637
CUST000092,49,"$65,676",9 years,TN,767
CUST000093,29,28462.0,,CA,681
CUST000094,34,26582.0,8 years,WA,767
CUST000095,33,,8 years,CA,734
CUST000096,21,48885.0,< 1 year,MO,694
CUST000097,41,,8 years,MD,715
CUST000098,41,56618.0,10+ years,GA,701
CUST000099,38,33021.0,6 years,OH,535
CUST000100,35,"$68,387",8 years,CA,682
CUST000101,21,20904.0,< 1 year,OH,621
CUST000102,32,32740.0,7 years,mi,602
CUST000103,33,62943.0,3 years,CA,708
CUST000104,28,"$46,552",6 years,IN,707
CUST000105,36,51313.0,5 years,MO,640
CUST000106,42,62287.0,8 years,VA,777
CUST000107,60,,10+ years,IN,681
CUST000108,40,58926.0,10+ years,WI,588
CUST000109,41,46014.0,10+ years,NY,596
CUST000110,37,49614.0,5 years,NJ,583
CUST000111,21,32268.0,2 years,TN,692
CUST000112,37,27542.0,,WA,644
CUST000113,38,54307.0,9 years,NC,683
CUST000114,67,77405.0,,md,629
CUST000115,35,23201.0,7 years,MD,766
CUST000116,41,46802.0,8 years,GA,570
CUST000117,37,"$44,500",8 years,CA,676
CUST000118,23,36304.0,,VA,642
CUST000119,51,"$25,176",10+ years,MA,0
CUST000120,47,62022.0,10+ years,PA,635
CUST000121,47,48522.0,4 years,TN,607
CUST000122,27,,5 years,GA,713
CUST000123,54,64572.0,10+ years,NC,725
CUST000124,21,"$19,999",< 1 year,MI,714
CUST000125,45,51137.0,10+ years,TX,750
CUST000126,64,"$81,601",10+ years,GA,742
CUST000127,26,44619.0,1 years,FL,713
CUST000128,31,23633.0,< 1 year,NY,662
CUST000129,39,41445.0,4 years,MA,559
CUST000130,31,59040.0,5 years,CA,683
CUST000131,21,19583.0,< 1 year,WA,701
CUST000132,38,50909.0,1 years,FL,645
CUST000133,25,,3 years,WA,635
CUST000134,43,25682.0,7 years,WI,683
CUST000135,26,15397.0,,IL,698
CUST000136,56,,10+ years,IL,518
CUST000137,28,48999.0,< 1 year,MI,606
CUST000138,34,57843.0,< 1 year,IN,823
CUST000139,47,27320.0,10+ years,NC,569
CUST000140,23,19281.0,< 1 year,CA,645
CUST000141,40,58267.0,,OH,744
CUST000142,53,61820.0,10+ years,OH,999
CUST000143,21,,< 1 year,MD,813
CUST000144,40,57903.0,10+ years,VA,723
CUST000145,41,,9 years,PA,608
CUST000146,47,"$53,520",7 years,MA,761
CUST000147,23,"$26,548",< 1 year,FL,708
CUST000148,22,13511.0,< 1 year,VA,559
CUST000149,44,66688.0,10+ years,MA,738
CUST000150,41,60136.0,9 years,TN,719
CUST000151,41,55814.0,10+ years,WA,602
CUST000152,42,53839.0,,IN,692
CUST000153,29,19327.0,< 1 year,IL,606
CUST000154,40,55363.0,9 years,OH,751
CUST000155,41,50937.0,10+ years,MO,709
CUST000156,29,64634.0,5 years,NY,721
CUST000157,60,52401.0,10+ years,VA,774
CUST000158,43,"$40,551",10+ years,TX,661
CUST000159,23,12000.0,5 years,MA,665
CUST000160,45,50530.0,10+ years,TX,600
CUST000161,26,12000.0,1 years,IN,540
CUST000162,47,73983.0,,PA,707
CUST000163,51,77384.0,10+ years,NY,683
CUST000164,28,31006.0,2 years,NJ,748
CUST000165,49,43394.0,,AZ,642
CUST000166,42,27338.0,4 years,TN,751
CUST000167,47,45642.0,10+ years,MO,598
CUST000168,60,81181.0,10+ years,tx,648
CUST000169,35,29994.0,7 years,OH,693
CUST000170,28,62029.0,2 years,VA,689
CUST000171,27,54560.0,,VA,668
CUST000172,28,33412.0,4 years,IN,548
CUST000173,37,"$37,272",4 years,MD,708
CUST000174,42,41662.0,10+ years,TN,613
CUST000175,41,72976.0,10+ years,wa,599
CUST000176,47,46350.0,10+ years,tn,680
CUST000177,38,59416.0,8 years,IL,734
CUST000178,55,66127.0,10+ years,NC,632
CUST000179,34,51303.0,8 years,NY,699
CUST000180,70,71494.0,10+ years,NC,659
CUST000181,45,48806.0,10+ years,MI,627
CUST000182,27,31837.0,3 years,NJ,671
CUST000183,25,20330.0,4 years,MD,535
